"","Protein.Group","Protein.Ids","Protein.Names","Genes","First.Protein.Description","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S1_S1.A1_3763.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S11_S1.A10_3772.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S12_S1.A11_3773.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S13_S1.A12_3774.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S14_S1.B1_3775.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S15_S1.B2_3776.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S18_S1.B4_3778.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S2_S1.A2_3764.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S20_S1.B6_3780.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S22_S1.B8_3782.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S23_S1.B9_3783.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S24_S1.B10_3784.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S25_S1.B11_3785.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S26_S1.B12_3786.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S27_S1.C1_3787.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S28_S1.C2_3788.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S29_S1.C3_3789.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S3_S1.A3_3765.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S30_S1.C4_3790.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S32_S1.C6_3792.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S35_S1.C9_3795.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S37_S1.C10_3796.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S38_S1.C11_3797.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S4_S1.A4_3766.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S5_S1.A5_3767.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S6_S1.A6_3768.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S7_S1.A7_3769.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S9_S1.A8_3770.d"
"1","A0A024RBG1","A0A024RBG1","NUD4B_HUMAN","NUDT4B","Diphosphoinositol polyphosphate phosphohydrolase NUDT4B",12935,3135.89,9167.7,3299.08,7397.39,8844.52,3427.55,14038.7,4866.32,4203.46,9679.45,9027.77,3064.64,17386.1,11580.8,16635.3,10053.8,12368.8,13903.4,4994.02,3957.67,5883.25,10385.6,12542,12298.7,6932.61,10746.1,5766.59
"2","A0A0B4J2F0","A0A0B4J2F0","PIOS1_HUMAN","PIGBOS1","Protein PIGBOS1",11291.1,6422.51,8967.36,7315.53,11285.9,6547.67,7493.26,10538.1,11359.5,12842.9,10004.5,13419.4,6579.22,10441.5,8811.13,9844.18,9851.78,10572.8,9417.99,8345.54,7187.88,9357.88,9002.7,10965.6,11763.5,13878.7,11500.6,11010.5
"3","A0A0U1RRE5","A0A0U1RRE5","NBDY_HUMAN","NBDY","Negative regulator of P-body association",13926.1,7444.7,12431.2,3128.85,14824.6,4244.05,7902.47,11095,9401.04,10323.9,7976.17,8153.5,5378.38,10963,4522.95,10611.3,10118.4,10951,7204.9,5752.51,7838.98,9928.28,5623.78,7785.71,10680.5,10364.1,10652.5,10902.9
"4","A0A0U1RRL7","A0A0U1RRL7","MMPOS_HUMAN","MMP24OS","Protein MMP24OS",1187.83,NA,823.668,1053.95,1355.02,NA,1506.19,1511.25,1564.65,1868.92,410.937,782.38,1205.17,1802.61,1415.37,900.316,1657.73,1550.2,1317.49,1034.22,2663.81,873.234,297.13,613.179,1559.49,2975.98,1551.23,1439.91
"5","A0A3B3IS91","A0A3B3IS91","PLGRF_HUMAN","POLG","POLG alternative reading frame",290.754,NA,NA,NA,NA,NA,NA,NA,NA,437.536,NA,512.991,NA,212.148,NA,604.064,238.551,NA,219.567,162.373,NA,NA,NA,158.347,NA,NA,NA,NA
"6","A0AV96","A0AV96","RBM47_HUMAN","RBM47","RNA-binding protein 47",7207.94,8179.88,9278,8438.81,9971.89,8197.78,7128.43,NA,10074.7,9680.84,10983.3,10037.7,8962.15,8628.26,6028.61,6932.14,8562.38,8562.7,10318.2,9006.12,8818.11,12005.7,6760.18,7272.68,7098.34,5718.22,6030.24,10022.8
"7","A0AVF1","A0AVF1","IFT56_HUMAN","TTC26","Intraflagellar transport protein 56",4203.04,4335.72,3396.92,4057.86,4845.8,4179.08,2935.17,3681.77,4746.59,4276.46,4966.49,1850.32,3080.86,4616.1,3700.82,2657.66,3977.59,4244.08,3960.76,2588.29,3811.3,3920.26,3768.5,4702.35,4222.67,3181,2694.04,4522.05
"8","A0AVI4","A0AVI4","TM129_HUMAN","TMEM129","E3 ubiquitin-protein ligase TM129",1652.59,1908.73,2097.33,2129.61,1888.59,2271.82,2434.4,2154.34,2617.15,1609.11,2187.79,3002.82,2516.6,2536.5,2086.7,1793.92,2357.48,2202.96,2166.9,1972.74,2225.53,1694.08,2014.81,2296.63,3486.21,3377.03,2745.44,2912.43
"9","A0AVT1","A0AVT1","UBA6_HUMAN","UBA6","Ubiquitin-like modifier-activating enzyme 6",89500.7,80778.8,73024.8,79959.9,90488.8,89089.2,85252.7,96549,78897.5,93340.7,95235.4,89815.1,91177.6,91488.2,94046.7,87125.4,82835.2,81503.6,85753.1,81762.4,95008,96267,90391.5,90264.8,87999.4,81014.4,95666.8,81743.9
"10","A0FGR8","A0FGR8","ESYT2_HUMAN","ESYT2","Extended synaptotagmin-2",35672.8,32185.2,29867.8,34927.6,31317.5,32334.8,35795.2,33645,35717.2,30297.8,31493.4,27842.6,25064.8,30960.3,32409.8,35772.3,34437.3,35641.8,34300.8,27392.5,33834.5,28892.7,34699.9,34535.6,30367.4,30861.4,26429.9,32880.4
"11","A0JLT2","A0JLT2","MED19_HUMAN","MED19","Mediator of RNA polymerase II transcription subunit 19",610.658,792.764,1492.71,1753.71,1403.8,1137.11,2036.27,1000.41,1239.88,1517.29,1839.93,1449.05,969.662,1698.6,3569.95,2365.41,2082.89,1437.84,1653.89,1537.76,1482.55,1592.31,1103.29,887.598,1795.49,1156.43,887.606,1737.72
"12","A0JNW5","A0JNW5","UH1BL_HUMAN","UHRF1BP1L","UHRF1-binding protein 1-like",1602.31,1513.14,2679.18,2936.74,1275.44,2165.3,3818.08,1296.41,3136.88,1993.42,1491.54,1695.18,3215.03,1797.56,1331.58,2318.38,2513.2,2062.57,2123.23,2606.66,2300.45,2310.14,1367.27,1578.23,1480.4,1913.36,2249.79,2890.1
"13","A0MZ66","A0MZ66","SHOT1_HUMAN","SHTN1","Shootin-1",15281.2,17482.2,19739.6,26418,26244.4,25996.4,27679.7,16081.5,33791.9,30589.1,18913.4,21219.8,29048.6,19645.8,18890.5,13435.5,25829.1,14274.5,18179.1,35935.2,23045.7,19590.1,15687.1,14253.2,17060.2,17233.1,21233.5,24075.8
"14","A0PJW6","A0PJW6","TM223_HUMAN","TMEM223","Transmembrane protein 223",6290.25,3994.05,5167.8,5339.11,6520.36,4806.77,9197.25,5917.43,5697.7,8111.63,5546.65,3859.23,3686.75,6717.24,6394.83,4770.92,4710.31,5828.47,5375.36,3998.15,7307.65,5832.17,6063.22,6555.89,7800.3,6061.57,6129.06,6457.43
"15","A0PK00","A0PK00","T120B_HUMAN","TMEM120B","Transmembrane protein 120B",15433.3,23148.8,17289.5,16341.3,11877.9,21530,13990,16755.6,16927.3,15386.6,20535.8,12053.1,19993.9,12907.1,10858.9,14896,13811.5,14039.9,13862.4,16519.2,16620.9,20230.3,13482.1,16807.9,15437.4,13915.9,18690.6,19103.6
"16","A1A4S6","A1A4S6","RHG10_HUMAN","ARHGAP10","Rho GTPase-activating protein 10",5185.7,11030.7,9662.17,7332.99,7900.26,9397.18,8565.32,5091.11,8474.19,7786.07,7105.27,4406.48,9475.01,5947.49,6025.89,5006.31,9060.2,4958.08,6902.93,14101.4,3742.41,5450.88,7502.74,5543.7,5813.66,3817.17,7551.59,9392.73
"17","A1A5C7","A1A5C7","S22AN_HUMAN","SLC22A23","Solute carrier family 22 member 23",2312.06,NA,NA,1872.6,4174.68,1308.15,NA,2032.77,1476.57,2889.21,2923.72,12779.1,NA,4234.55,12839.4,1811.82,1841.75,1821.17,3363.46,5352.93,1984.51,NA,1740.09,1888.83,3536.89,19644.4,2771.38,2151.74
"18","A1IGU5","A1IGU5","ARH37_HUMAN","ARHGEF37","Rho guanine nucleotide exchange factor 37",1550.08,845.849,NA,1521.95,2913.94,1949.05,1936.7,2092.43,2396.15,2674.33,1897.27,1890.81,676.378,2398.88,1774.04,2036.88,1942.33,1586.59,1836.82,NA,NA,1235.3,1605.49,2443.65,2149.29,3252.09,2497.52,1970.95
"19","A1L020","A1L020","MEX3A_HUMAN","MEX3A","RNA-binding protein MEX3A",2423.02,NA,2351.19,1866.11,1816.17,1544.46,761.48,3071.53,1663.24,1808.86,2711.42,1612.02,1740.19,1495.58,1811.65,2304.13,1907,2085.8,1982.32,1188.36,1329.72,3179.03,1095.45,2183.6,2339.15,473.682,3118.23,2097.03
"20","A1L0T0","A1L0T0","HACL2_HUMAN","ILVBL","2-hydroxyacyl-CoA lyase 2",81931.9,85282.4,103442,119441,88989.3,92936.3,93213.3,76742.7,99121.9,89466.9,87169.1,104138,95173.5,87884.8,82596.5,77970.1,95728,83951.8,83923.6,94946.1,88593.7,101641,102776,76788.3,78357.5,99072.1,78094.3,114964
"21","A1L157","A1L157","TSN11_HUMAN","TSPAN11","Tetraspanin-11",816.649,NA,NA,NA,48.7175,986.674,NA,670.631,NA,465.64,869.255,3203.98,NA,NA,NA,1469,394.414,1158.56,683.256,NA,NA,382.157,1242.31,523.776,1437.51,1853.53,1720.96,NA
"22","A1L188","A1L188","NDUF8_HUMAN","NDUFAF8","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8",4748.89,6136.56,2505.65,5166.06,4968.37,4289.91,3659.68,5562.39,4385.16,3741.92,4161.26,4090.1,2730.24,3838.52,2125.06,4440.84,3741.05,5289.2,3816.22,3242.49,3963.92,4742.79,3837.97,5028.2,5022.53,3650.85,4009.02,5240.08
"23","A1X283","A1X283","SPD2B_HUMAN","SH3PXD2B","SH3 and PX domain-containing protein 2B",41900.3,47560.4,55299.4,51512.2,60713.6,43266.7,49639.5,46134.9,53753.9,52720.3,44831.2,51286.6,37190.9,43985.9,49390.4,44573.5,50945.7,40072.7,56772,53593.3,35779.9,50718,42685.9,43384.7,48006.4,47345.4,45228.6,61049
